Token;Anzahl;P_r;Rank
less;7;7;371
light;7;7;372
lips;7;7;373
living;7;7;374
ll;7;7;375
man;7;7;376
outward;7;7;377
parts;7;7;378
play;7;7;379
present;7;7;380
put;7;7;381
sad;7;7;382
same;7;7;383
set;7;7;384
sin;7;7;385
thence;7;7;386
thyself;7;7;387
very;7;7;388
virtue;7;7;389
war;7;7;390
waste;7;7;391
white;7;7;392
wide;7;7;393
worst;7;7;394
Doth;6;6;395
Hath;6;6;396
Have;6;6;397
It;6;6;398
Lest;6;6;399
Look;6;6;400
Make;6;6;401
Nature;6;6;402
On;6;6;403
Till;6;6;404
Whose;6;6;405
argument;6;6;406
been;6;6;407
blind;6;6;408
canst;6;6;409
care;6;6;410
due;6;6;411
dull;6;6;412
dumb;6;6;413
dwell;6;6;414
enough;6;6;415
excuse;6;6;416
fears;6;6;417
fill;6;6;418
fortune;6;6;419
go;6;6;420
green;6;6;421
grief;6;6;422
having;6;6;423
head;6;6;424
heavy;6;6;425
hope;6;6;426
longer;6;6;427
makes;6;6;428
need;6;6;429
past;6;6;430
pity;6;6;431
precious;6;6;432
read;6;6;433
rest;6;6;434
rose;6;6;435
seeing;6;6;436
shouldst;6;6;437
shows;6;6;438
sick;6;6;439
side;6;6;440
sing;6;6;441
slave;6;6;442
speak;6;6;443
spent;6;6;444
straight;6;6;445
strange;6;6;446
strength;6;6;447
swear;6;6;448
swift;6;6;449
taught;6;6;450
ten;6;6;451
themselves;6;6;452
through;6;6;453
way;6;6;454
wealth;6;6;455
wit;6;6;456
within;6;6;457
woman;6;6;458
writ;6;6;459
wrong;6;6;460
yourself;6;6;461
Ah;5;5;462
Although;5;5;463
At;5;5;464
Death;5;5;465
Give;5;5;466
More;5;5;467
One;5;5;468
Such;5;5;469
Sweet;5;5;470
These;5;5;471
Were;5;5;472
Within;5;5;473
Without;5;5;474
Your;5;5;475
absence;5;5;476
angel;5;5;477
antique;5;5;478
barren;5;5;479
base;5;5;480
birth;5;5;481
boast;5;5;482
book;5;5;483
brain;5;5;484
brand;5;5;485
buried;5;5;486
canker;5;5;487
cheek;5;5;488
chide;5;5;489
compare;5;5;490
cure;5;5;491
date;5;5;492
despite;5;5;493
done;5;5;494
doom;5;5;495
down;5;5;496
else;5;5;497
eternal;5;5;498
express;5;5;499
fairest;5;5;500
faith;5;5;501
fast;5;5;502
fell;5;5;503
flower;5;5;504
gainst;5;5;505
gave;5;5;506
gift;5;5;507
golden;5;5;508
graces;5;5;509
gracious;5;5;510
grew;5;5;511
hence;5;5;512
here;5;5;513
hide;5;5;514
hue;5;5;515
into;5;5;516
invention;5;5;517
judgment;5;5;518
keeps;5;5;519
large;5;5;520
least;5;5;521
left;5;5;522
lend;5;5;523
making;5;5;524
merit;5;5;525
moan;5;5;526
mortal;5;5;527
mother;5;5;528
motion;5;5;529
music;5;5;530
n;5;5;531
near;5;5;532
oft;5;5;533
only;5;5;534
ornament;5;5;535
pain;5;5;536
painted;5;5;537
purpose;5;5;538
quite;5;5;539
rage;5;5;540
rank;5;5;541
reason;5;5;542
remember;5;5;543
return;5;5;544
roses;5;5;545
saw;5;5;546
says;5;5;547
scope;5;5;548
sea;5;5;549
shape;5;5;550
short;5;5;551
slow;5;5;552
sorrow;5;5;553
spend;5;5;554
spite;5;5;555
spring;5;5;556
stars;5;5;557
steal;5;5;558
steel;5;5;559
stol;5;5;560
subject;5;5;561
sweetest;5;5;562
sweets;5;5;563
tears;5;5;564
tied;5;5;565
toil;5;5;566
tomb;5;5;567
took;5;5;568
truly;5;5;569
trust;5;5;570
turn;5;5;571
us;5;5;572
water;5;5;573
whether;5;5;574
wish;5;5;575
worse;5;5;576
wrinkles;5;5;577
year;5;5;578
yours;5;5;579
April;4;4;580
Being;4;4;581
Do;4;4;582
Her;4;4;583
May;4;4;584
Thine;4;4;585
Three;4;4;586
Unless;4;4;587
Was;4;4;588
While;4;4;589
absent;4;4;590
abundance;4;4;591
account;4;4;592
add;4;4;593
air;4;4;594
although;4;4;595
appear;4;4;596
appetite;4;4;597
babe;4;4;598
bath;4;4;599
beauties;4;4;600
behind;4;4;601
believe;4;4;602
blame;4;4;603
bosom;4;4;604
brass;4;4;605
break;4;4;606
buds;4;4;607
burn;4;4;608
calls;4;4;609
catch;4;4;610
character;4;4;611
cheeks;4;4;612
colour;4;4;613
comfort;4;4;614
common;4;4;615
complexion;4;4;616
contented;4;4;617
count;4;4;618
crime;4;4;619
cross;4;4;620
crown;4;4;621
dare;4;4;622
ere;4;4;623
errors;4;4;624
esteem;4;4;625
evil;4;4;626
farther;4;4;627
former;4;4;628
forsworn;4;4;629
frame;4;4;630
free;4;4;631
frown;4;4;632
gain;4;4;633
given;4;4;634
groan;4;4;635
grown;4;4;636
hearts;4;4;637
heat;4;4;638
help;4;4;639
high;4;4;640
holds;4;4;641
holy;4;4;642
hour;4;4;643
husband;4;4;644
image;4;4;645
increase;4;4;646
inward;4;4;647
jewel;4;4;648
kill;4;4;649
knife;4;4;650
lack;4;4;651
lays;4;4;652
lease;4;4;653
leisure;4;4;654
lends;4;4;655
lost;4;4;656
mad;4;4;657
minutes;4;4;658
morrow;4;4;659
ne;4;4;660
needs;4;4;661
number;4;4;662
numbers;4;4;663
over;4;4;664
painting;4;4;665
pass;4;4;666
picture;4;4;667
please;4;4;668
poet;4;4;669
praises;4;4;670
prime;4;4;671
public;4;4;672
rare;4;4;673
red;4;4;674
rehearse;4;4;675
report;4;4;676
respect;4;4;677
rhyme;4;4;678
rude;4;4;679
said;4;4;680
scythe;4;4;681
second;4;4;682
seek;4;4;683
seeming;4;4;684
sense;4;4;685
shade;4;4;686
shine;4;4;687
sinful;4;4;688
single;4;4;689
slander;4;4;690
sleep;4;4;691
smell;4;4;692
sometime;4;4;693
song;4;4;694
sovereign;4;4;695
speaking;4;4;696
stain;4;4;697
story;4;4;698
substance;4;4;699
sum;4;4;700
t;4;4;701
taste;4;4;702
thief;4;4;703
three;4;4;704
told;4;4;705
tongues;4;4;706
touches;4;4;707
turns;4;4;708
under;4;4;709
unused;4;4;710
vow;4;4;711
wherefore;4;4;712
widow;4;4;713
win;4;4;714
without;4;4;715
work;4;4;716
worms;4;4;717
worthy;4;4;718
young;4;4;719
Are;3;3;720
Art;3;3;721
Beauty;3;3;722
Before;3;3;723
Both;3;3;724
Can;3;3;725
Dost;3;3;726
Fair;3;3;727
Fortune;3;3;728
His;3;3;729
Lo;3;3;730
Past;3;3;731
Pity;3;3;732
She;3;3;733
Take;3;3;734
Tis;3;3;735
Whereto;3;3;736
above;3;3;737
abuse;3;3;738
acquaintance;3;3;739
action;3;3;740
almost;3;3;741
alter;3;3;742
amiss;3;3;743
anew;3;3;744
answer;3;3;745
approve;3;3;746
assur;3;3;747
audit;3;3;748
bare;3;3;749
basest;3;3;750
bastard;3;3;751
bears;3;3;752
bed;3;3;753
belov;3;3;754
birds;3;3;755
bloody;3;3;756
blot;3;3;757
blunt;3;3;758
bonds;3;3;759
boy;3;3;760
brave;3;3;761
brief;3;3;762
brought;3;3;763
cause;3;3;764
chest;3;3;765
clear;3;3;766
clouds;3;3;767
conceit;3;3;768
confin;3;3;769
confounds;3;3;770
conquest;3;3;771
conscience;3;3;772
constancy;3;3;773
constant;3;3;774
control;3;3;775
course;3;3;776
cover;3;3;777
cunning;3;3;778
daily;3;3;779
dark;3;3;780
dearest;3;3;781
decease;3;3;782
deem;3;3;783
defence;3;3;784
desert;3;3;785
despair;3;3;786
dial;3;3;787
didst;3;3;788
double;3;3;789
draw;3;3;790
ear;3;3;791
edge;3;3;792
effect;3;3;793
either;3;3;794
elsewhere;3;3;795
eternity;3;3;796
evermore;3;3;797
expense;3;3;798
fade;3;3;799
fairer;3;3;800
fall;3;3;801
fame;3;3;802
fault;3;3;803
favour;3;3;804
feel;3;3;805
fight;3;3;806
fingers;3;3;807
five;3;3;808
flame;3;3;809
flatter;3;3;810
flattery;3;3;811
flesh;3;3;812
flies;3;3;813
foes;3;3;814
fool;3;3;815
foot;3;3;816
forbid;3;3;817
forget;3;3;818
forgot;3;3;819
friends;3;3;820
gav;3;3;821
general;3;3;822
gilded;3;3;823
god;3;3;824
got;3;3;825
grant;3;3;826
grave;3;3;827
greater;3;3;828
greet;3;3;829
ground;3;3;830
grows;3;3;831
growth;3;3;832
half;3;3;833
happier;3;3;834
haste;3;3;835
heavenly;3;3;836
height;3;3;837
heir;3;3;838
home;3;3;839
hot;3;3;840
infection;3;3;841
injury;3;3;842
just;3;3;843
kept;3;3;844
kiss;3;3;845
knowledge;3;3;846
laid;3;3;847
lawful;3;3;848
leap;3;3;849
learn;3;3;850
line;3;3;851
lived;3;3;852
losing;3;3;853
lovers;3;3;854
maiden;3;3;855
main;3;3;856
manners;3;3;857
matter;3;3;858
means;3;3;859
mend;3;3;860
methinks;3;3;861
minds;3;3;862
mock;3;3;863
moon;3;3;864
mourn;3;3;865
nought;3;3;866
oaths;3;3;867
ocean;3;3;868
odour;3;3;869
offence;3;3;870
outlive;3;3;871
pace;3;3;872
painter;3;3;873
pay;3;3;874
perfect;3;3;875
perjur;3;3;876
pine;3;3;877
plague;3;3;878
plea;3;3;879
pluck;3;3;880
posterity;3;3;881
pretty;3;3;882
princes;3;3;883
prize;3;3;884
proof;3;3;885
prov;3;3;886
quick;3;3;887
rain;3;3;888
reasons;3;3;889
receives;3;3;890
record;3;3;891
reign;3;3;892
remain;3;3;893
remov;3;3;894
repair;3;3;895
ride;3;3;896
sail;3;3;897
scorn;3;3;898
seasons;3;3;899
send;3;3;900
shadows;3;3;901
shake;3;3;902
shore;3;3;903
silence;3;3;904
simple;3;3;905
sins;3;3;906
son;3;3;907
soon;3;3;908
speed;3;3;909
stands;3;3;910
star;3;3;911
stone;3;3;912
style;3;3;913
suffer;3;3;914
sure;3;3;915
survey;3;3;916
sway;3;3;917
sworn;3;3;918
taken;3;3;919
takes;3;3;920
teach;3;3;921
tend;3;3;922
therein;3;3;923
thinking;3;3;924
thorns;3;3;925
thousand;3;3;926
thrice;3;3;927
torment;3;3;928
travel;3;3;929
twain;3;3;930
tyrant;3;3;931
unkind;3;3;932
vile;3;3;933
virtuous;3;3;934
vulgar;3;3;935
want;3;3;936
wanting;3;3;937
wear;3;3;938
weary;3;3;939
weed;3;3;940
weeds;3;3;941
weep;3;3;942
wert;3;3;943
west;3;3;944
wherein;3;3;945
windows;3;3;946
witness;3;3;947
women;3;3;948
wonder;3;3;949
wood;3;3;950
works;3;3;951
wouldst;3;3;952
wound;3;3;953
wretch;3;3;954
yellow;3;3;955
After;2;2;956
Alas;2;2;957
Ay;2;2;958
Bearing;2;2;959
Because;2;2;960
Came;2;2;961
Come;2;2;962
Cupid;2;2;963
Dear;2;2;964
Die;2;2;965
Each;2;2;966
Ere;2;2;967
Finding;2;2;968
Full;2;2;969
Gilding;2;2;970
Had;2;2;971
Him;2;2;972
Kill;2;2;973
Knowing;2;2;974
Looking;2;2;975
Mad;2;2;976
Made;2;2;977
Makes;2;2;978
Mark;2;2;979
Me;2;2;980
Most;2;2;981
Myself;2;2;982
Nay;2;2;983
Our;2;2;984
Painting;2;2;985
Resembling;2;2;986
Reserve;2;2;987
Return;2;2;988
Roses;2;2;989
Sets;2;2;990
Sometime;2;2;991
Speak;2;2;992
Stealing;2;2;993
Still;2;2;994
There;2;2;995
Truth;2;2;996
Under;2;2;997
Unlook;2;2;998
Wherein;2;2;999
Yourself;2;2;1000
abhor;2;2;1001
abide;2;2;1002
acquainted;2;2;1003
added;2;2;1004
addition;2;2;1005
adjunct;2;2;1006
advantage;2;2;1007
affairs;2;2;1008
affords;2;2;1009
ah;2;2;1010
aid;2;2;1011
alack;2;2;1012
alchemy;2;2;1013
alive;2;2;1014
allow;2;2;1015
alters;2;2;1016
among;2;2;1017
antiquity;2;2;1018
aside;2;2;1019
asleep;2;2;1020
assail;2;2;1021
aught;2;2;1022
autumn;2;2;1023
bail;2;2;1024
bareness;2;2;1025
bark;2;2;1026
bars;2;2;1027
beast;2;2;1028
becomes;2;2;1029
becoming;2;2;1030
belied;2;2;1031
belong;2;2;1032
belongs;2;2;1033
beloved;2;2;1034
bending;2;2;1035
benefit;2;2;1036
bent;2;2;1037
beside;2;2;1038
besiege;2;2;1039
bestow;2;2;1040
betray;2;2;1041
bide;2;2;1042
bitter;2;2;1043
bitterness;2;2;1044
blam;2;2;1045
blest;2;2;1046
blushing;2;2;1047
bold;2;2;1048
bore;2;2;1049
bounteous;2;2;1050
bounty;2;2;1051
bow;2;2;1052
breathe;2;2;1053
bred;2;2;1054
breed;2;2;1055
brings;2;2;1056
broke;2;2;1057
bud;2;2;1058
built;2;2;1059
burthen;2;2;1060
canopy;2;2;1061
captain;2;2;1062
careful;2;2;1063
cast;2;2;1064
changing;2;2;1065
charter;2;2;1066
chase;2;2;1067
check;2;2;1068
checked;2;2;1069
chief;2;2;1070
children;2;2;1071
churl;2;2;1072
clearer;2;2;1073
clock;2;2;1074
cloud;2;2;1075
coming;2;2;1076
comment;2;2;1077
comments;2;2;1078
commits;2;2;1079
compounds;2;2;1080
concord;2;2;1081
confess;2;2;1082
confound;2;2;1083
content;2;2;1084
contracted;2;2;1085
controlling;2;2;1086
converted;2;2;1087
copy;2;2;1088
corrupt;2;2;1089
cost;2;2;1090
counterfeit;2;2;1091
created;2;2;1092
creation;2;2;1093
creatures;2;2;1094
crow;2;2;1095
cry;2;2;1096
curse;2;2;1097
dateless;2;2;1098
dearer;2;2;1099
deaths;2;2;1100
deceased;2;2;1101
deceive;2;2;1102
defect;2;2;1103
deny;2;2;1104
depart;2;2;1105
depends;2;2;1106
deserts;2;2;1107
deserv;2;2;1108
desired;2;2;1109
despise;2;2;1110
despised;2;2;1111
devise;2;2;1112
died;2;2;1113
discontent;2;2;1114
disdain;2;2;1115
diseas;2;2;1116
distill;2;2;1117
divine;2;2;1118
doing;2;2;1119
dote;2;2;1120
doting;2;2;1121
drawn;2;2;1122
dream;2;2;1123
dreams;2;2;1124
dress;2;2;1125
dust;2;2;1126
duty;2;2;1127
dy;2;2;1128
ears;2;2;1129
ease;2;2;1130
eat;2;2;1131
eclipses;2;2;1132
elements;2;2;1133
enemies;2;2;1134
envy;2;2;1135
err;2;2;1136
example;2;2;1137
excellence;2;2;1138
extreme;2;2;1139
eyelids;2;2;1140
faces;2;2;1141
fading;2;2;1142
falsehood;2;2;1143
farthest;2;2;1144
fashion;2;2;1145
father;2;2;1146
feast;2;2;1147
feeding;2;2;1148
feeling;2;2;1149
fever;2;2;1150
fickle;2;2;1151
fiend;2;2;1152
fierce;2;2;1153
finds;2;2;1154
fine;2;2;1155
fix;2;2;1156
fled;2;2;1157
follow;2;2;1158
folly;2;2;1159
fond;2;2;1160
forbear;2;2;1161
force;2;2;1162
fore;2;2;1163
forfeit;2;2;1164
forsake;2;2;1165
fortify;2;2;1166
frailties;2;2;1167
fulfil;2;2;1168
garments;2;2;1169
gay;2;2;1170
gaze;2;2;1171
glad;2;2;1172
glance;2;2;1173
goddess;2;2;1174
goes;2;2;1175
gold;2;2;1176
goodness;2;2;1177
gross;2;2;1178
grounded;2;2;1179
growing;2;2;1180
guard;2;2;1181
guess;2;2;1182
guest;2;2;1183
guilty;2;2;1184
hadst;2;2;1185
hands;2;2;1186
hang;2;2;1187
haply;2;2;1188
hawks;2;2;1189
health;2;2;1190
healthful;2;2;1191
heavily;2;2;1192
held;2;2;1193
hid;2;2;1194
hideous;2;2;1195
himself;2;2;1196
hopes;2;2;1197
horse;2;2;1198
huge;2;2;1199
humble;2;2;1200
humour;2;2;1201
hungry;2;2;1202
husbandry;2;2;1203
hymns;2;2;1204
idle;2;2;1205
ignorance;2;2;1206
imprison;2;2;1207
inconstant;2;2;1208
influence;2;2;1209
injuries;2;2;1210
ink;2;2;1211
interest;2;2;1212
invent;2;2;1213
issue;2;2;1214
jacks;2;2;1215
jewels;2;2;1216
journey;2;2;1217
judgement;2;2;1218
keen;2;2;1219
kindness;2;2;1220
king;2;2;1221
kings;2;2;1222
knowing;2;2;1223
lacked;2;2;1224
lame;2;2;1225
last;2;2;1226
lay;2;2;1227
lead;2;2;1228
leads;2;2;1229
learning;2;2;1230
lest;2;2;1231
level;2;2;1232
liberty;2;2;1233
lily;2;2;1234
limbs;2;2;1235
little;2;2;1236
liv;2;2;1237
lively;2;2;1238
lofty;2;2;1239
lords;2;2;1240
lover;2;2;1241
lust;2;2;1242
lusty;2;2;1243
majesty;2;2;1244
mak;2;2;1245
maladies;2;2;1246
mansion;2;2;1247
map;2;2;1248
mark;2;2;1249
married;2;2;1250
mask;2;2;1251
master;2;2;1252
measure;2;2;1253
meet;2;2;1254
mightst;2;2;1255
miles;2;2;1256
monument;2;2;1257
morn;2;2;1258
morning;2;2;1259
mountain;2;2;1260
mourners;2;2;1261
mourning;2;2;1262
moving;2;2;1263
murderous;2;2;1264
muse;2;2;1265
mute;2;2;1266
mutual;2;2;1267
neglect;2;2;1268
newer;2;2;1269
next;2;2;1270
niggard;2;2;1271
nightly;2;2;1272
nights;2;2;1273
nimble;2;2;1274
note;2;2;1275
